StudyYear	Code	Births	BirthSchool	Rate	trt	year	interaction	Pop
2016.0	260540	304	219.0	14.003408	1.0	1.0	1.0	21836
2014.0	260545	22	19.0	7.633588	1.0	0.0	0.0	2882
2016.0	260545	26	26.0	8.879782	1.0	1.0	1.0	2974
2014.0	260550	118	80.0	9.909305	1.0	0.0	0.0	11908
2016.0	260550	163	103.0	13.631042	1.0	1.0	1.0	12008
2014.0	260560	262	178.0	11.593433	1.0	0.0	0.0	22599
2016.0	260560	227	150.0	10.048694	1.0	1.0	1.0	22577
2014.0	260570	461	321.0	14.655858	1.0	0.0	0.0	31455
2016.0	260570	430	307.0	13.517337	1.0	1.0	1.0	32152
2014.0	260580	142	74.0	9.44463	1.0	0.0	0.0	15035
2016.0	260580	133	73.0	8.785837	1.0	1.0	1.0	15234
2014.0	260590	373	208.0	12.506287	1.0	0.0	0.0	29825
2016.0	260590	362	217.0	12.013008	1.0	1.0	1.0	30426
2014.0	260600	2360	1532.0	17.344778	1.0	0.0	0.0	136064
2016.0	260600	2179	1535.0	15.910219	1.0	1.0	1.0	137810
2014.0	260610	381	250.0	12.653604	1.0	0.0	0.0	30110
2016.0	260610	356	232.0	11.779498	1.0	1.0	1.0	30324
2014.0	260620	1308	851.0	16.707329	1.0	0.0	0.0	78289
2016.0	260620	1151	754.0	14.6394825	1.0	1.0	1.0	78940
2014.0	260630	116	75.0	15.995587	1.0	0.0	0.0	7252
2016.0	260630	109	77.0	14.91108	1.0	1.0	1.0	7363
2014.0	260640	1266	805.0	15.594398	1.0	0.0	0.0	81183
2016.0	260640	1060	686.0	12.942929	1.0	1.0	1.0	82579
2014.0	260650	302	135.0	15.92827	1.0	0.0	0.0	18960
2016.0	260650	249	128.0	13.096303	1.0	1.0	1.0	19056
2014.0	260660	473	257.0	16.65317	1.0	0.0	0.0	28403
2016.0	260660	423	250.0	14.787624	1.0	1.0	1.0	28798
2014.0	260670	95	52.0	12.307294	1.0	0.0	0.0	7719
2016.0	260670	82	48.0	10.617636	1.0	1.0	1.0	7730
2014.0	260680	1684	1221.0	15.18225	1.0	0.0	0.0	110919
2016.0	260680	1563	1158.0	13.896668	1.0	1.0	1.0	113956
2014.0	260690	165	116.0	13.616108	1.0	0.0	0.0	12118
2016.0	260690	132	93.0	10.878523	1.0	1.0	1.0	12156
2014.0	260700	334	166.0	15.552244	1.0	0.0	0.0	21476
2016.0	260700	336	182.0	15.318684	1.0	1.0	1.0	22374
2014.0	260710	58	45.0	12.708151	1.0	0.0	0.0	4564
2016.0	260710	65	52.0	14.273167	1.0	1.0	1.0	4549
2014.0	260720	1576	1071.0	17.577318	1.0	0.0	0.0	89661
2016.0	260720	1562	1130.0	17.09982	1.0	1.0	1.0	92965
2014.0	260730	509	279.0	17.350103	1.0	0.0	0.0	29337
2016.0	260730	563	308.0	18.942198	1.0	1.0	1.0	30091
2014.0	260740	81	52.0	17.226711	1.0	0.0	0.0	4702
2016.0	260740	80	43.0	16.831474	1.0	1.0	1.0	4807
2014.0	260750	352	148.0	13.303099	1.0	0.0	0.0	26460
2016.0	260750	325	152.0	12.303616	1.0	1.0	1.0	26362
2014.0	260760	297	194.0	12.162162	1.0	0.0	0.0	24420
2016.0	260760	317	230.0	12.737062	1.0	1.0	1.0	25346
2014.0	260765	472	235.0	13.017458	1.0	0.0	0.0	36259
2016.0	260765	437	227.0	12.046532	1.0	1.0	1.0	36299
2014.0	260770	201	139.0	14.506351	1.0	0.0	0.0	13856
2016.0	260770	187	121.0	13.567438	1.0	1.0	1.0	13708
2014.0	260775	363	251.0	14.227483	1.0	0.0	0.0	25514
2016.0	260775	366	257.0	14.186047	1.0	1.0	1.0	26073
2014.0	260780	258	134.0	15.4500265	1.0	0.0	0.0	16699
2016.0	260780	209	125.0	12.474633	1.0	1.0	1.0	16806
2014.0	260790	9819	7574.0	14.418968	1.0	0.0	0.0	680978
2016.0	260790	8880	7071.0	12.941682	1.0	1.0	1.0	691125
2014.0	260795	210	114.0	17.976374	1.0	0.0	0.0	11682
